may day	https://en.wikipedia.org/wiki/May_Day	anticipated
labor day	https://en.wikipedia.org/wiki/Labour_Day	anticipated
cinco de mayo https://en.wikipedia.org/wiki/Cinco_de_Mayo anticipated
american idol https://en.wikipedia.org/wiki/American_Idol	anticipated
kentucky derby	https://en.wikipedia.org/wiki/Kentucky_Derby	anticipated	
triple crown	https://en.wikipedia.org/wiki/Triple_Crown_of_Thoroughbred_Racing_(United_States)	anticipated	
preakness stakes	https://en.wikipedia.org/wiki/Preakness_Stakes	anticipated
belmont stakes	https://en.wikipedia.org/wiki/Belmont_Stakes	anticipated	
champions league  https://en.wikipedia.org/wiki/UEFA_Champions_League	anticipated	
eurovision	https://en.wikipedia.org/wiki/Eurovision_Song_Contest_2006	anticipated	
acm awards	https://en.wikipedia.org/wiki/Academy_of_Country_Music_Awards	anticipated

